muni_code,start_year,end_year,start_month,end_month,flooded_pixels,valid_pixels,flood_ratio
1100015.0,2022,2022,9,9,87,38905167,2.23620682568976e-06
1100023.0,2022,2022,9,9,69,22470237,3.0707286264937926e-06
1100031.0,2022,2022,9,9,13275,6283100,0.002112810555299136
1100049.0,2022,2022,9,9,480,15165648,3.165047744745229e-05
1100056.0,2022,2022,9,9,12997,12804736,0.001015015069424313
